observation_date,CPAT
2000/10/1,573.967
2001/1/1,593.447
2001/4/1,625.379
2001/7/1,610.375
2001/10/1,638.97
2002/1/1,722.722
2002/4/1,747.849
2002/7/1,772.158
2002/10/1,836.039
2003/1/1,807.272
2003/4/1,847.592
2003/7/1,879.966
2003/10/1,918.387
2004/1/1,1017.183
2004/4/1,1029.643
2004/7/1,1071.377
2004/10/1,1049.924
2005/1/1,1104.414
2005/4/1,1133.053
2005/7/1,1155.571
2005/10/1,1208.145
2006/1/1,1254.443
2006/4/1,1258.593
2006/7/1,1288.079
2006/10/1,1262.717
2007/1/1,1168.768
2007/4/1,1241.923
2007/7/1,1213.225
2007/10/1,1192.171
2008/1/1,1156.248
2008/4/1,1142.84
2008/7/1,1160.602
2008/10/1,899.117
2009/1/1,1125.534
2009/4/1,1126.565
2009/7/1,1286.134
2009/10/1,1348.642
2010/1/1,1428.295
2010/4/1,1422.987
2010/7/1,1571.136
2010/10/1,1586.412
2011/1/1,1435.031
2011/4/1,1557.726
2011/7/1,1615.871
2011/10/1,1718.029
2012/1/1,1758.696
2012/4/1,1729.414
2012/7/1,1705.305
2012/10/1,1699.163
2013/1/1,1699.634
2013/4/1,1703.325
2013/7/1,1720.44
2013/10/1,1751.49
2014/1/1,1652.642
2014/4/1,1801.772
2014/7/1,1889.023
2014/10/1,1880.338
2015/1/1,1826.631
2015/4/1,1799.6
2015/7/1,1780.289
2015/10/1,1701.493
2016/1/1,1777.476
2016/4/1,1733.129
2016/7/1,1754.784
2016/10/1,1807.72
2017/1/1,1911.361
2017/4/1,1896.913
2017/7/1,1927.001
2017/10/1,1977.064
2018/1/1,2028.401
2018/4/1,2070.954
2018/7/1,2071.997
2018/10/1,2099.624
2019/1/1,2133.343
2019/4/1,2160.739
2019/7/1,2204.873
2019/10/1,2197.55
2020/1/1,1993.666
2020/4/1,1821.924
2020/7/1,2407.402
2020/10/1,2175.004
2021/1/1,2476.858
2021/4/1,2679.371
2021/7/1,2660.598
2021/10/1,2636.571
2022/1/1,2566.259
2022/4/1,2728.056
2022/7/1,2845.696
2022/10/1,2809.855
2023/1/1,2796.826
2023/4/1,2835.546
2023/7/1,2953.039
2023/10/1,3101.834
