observation_date,CPI
2000/11/1,2.870145
2000/12/1,2.972089
2001/1/1,2.878468
2001/2/1,2.979742
2001/3/1,2.961886
2001/4/1,3.091112
2001/5/1,3.07401
2001/6/1,3.200619
2001/7/1,3.207811
2001/8/1,3.251713
2001/9/1,3.388746
2001/10/1,3.484066
2001/11/1,3.601999
2001/12/1,3.56492
2002/1/1,3.557463
2002/2/1,3.527436
2002/3/1,3.46848
2002/4/1,3.465822
2002/5/1,3.452132
2002/6/1,3.241692
2002/7/1,3.263706
2002/8/1,3.146595
2002/9/1,3.026606
2002/10/1,2.937194
2002/11/1,2.824322
2002/12/1,2.792164
2003/1/1,2.778159
2003/2/1,2.69562
2003/3/1,2.619135
2003/4/1,2.450573
2003/5/1,2.338588
2003/6/1,2.261697
2003/7/1,2.228217
2003/8/1,2.155287
2003/9/1,2.174311
2003/10/1,2.150681
2003/11/1,2.025956
2003/12/1,1.967767
2004/1/1,1.949813
2004/2/1,2.037157
2004/3/1,2.126567
2004/4/1,2.247883
2004/5/1,2.228612
2004/6/1,2.370793
2004/7/1,2.254997
2004/8/1,2.249671
2004/9/1,2.23192
2004/10/1,2.229333
2004/11/1,2.293798
2004/12/1,2.304188
2005/1/1,2.308836
2005/2/1,2.279146
2005/3/1,2.238654
2005/4/1,2.231837
2005/5/1,2.350311
2005/6/1,2.191008
2005/7/1,2.292571
2005/8/1,2.256804
2005/9/1,2.326514
2005/10/1,2.318218
2005/11/1,2.424911
2005/12/1,2.463042
2006/1/1,2.444816
2006/2/1,2.492938
2006/3/1,2.575349
2006/4/1,2.67529
2006/5/1,2.778406
2006/6/1,3.029285
2006/7/1,3.089187
2006/8/1,3.219901
2006/9/1,3.207054
2006/10/1,3.285968
2006/11/1,3.141252
2006/12/1,3.1159
2007/1/1,3.136734
2007/2/1,3.152428
2007/3/1,3.099888
2007/4/1,2.957465
2007/5/1,2.774199
2007/6/1,2.621714
2007/7/1,2.525322
2007/8/1,2.459164
2007/9/1,2.475003
2007/10/1,2.494632
2007/11/1,2.64947
2007/12/1,2.712396
2008/1/1,2.747695
2008/2/1,2.617738
2008/3/1,2.688949
2008/4/1,2.725505
2008/5/1,2.793043
2008/6/1,2.933931
2008/7/1,3.010504
2008/8/1,3.080765
2008/9/1,3.071629
2008/10/1,2.922213
2008/11/1,2.777101
2008/12/1,2.614507
2009/1/1,2.535975
2009/2/1,2.54257
2009/3/1,2.437701
2009/4/1,2.359914
2009/5/1,2.273815
2009/6/1,2.078064
2009/7/1,1.910212
2009/8/1,1.757047
2009/9/1,1.602846
2009/10/1,1.509202
2009/11/1,1.361569
2009/12/1,1.318775
2010/1/1,1.170764
2010/2/1,1.048684
2010/3/1,0.9255025
2010/4/1,0.869413
2010/5/1,0.7933019
2010/6/1,0.7780126
2010/7/1,0.7440706
2010/8/1,0.6911157
2010/9/1,0.6638685
2010/10/1,0.6723344
2010/11/1,0.8233069
2010/12/1,0.8307821
2011/1/1,0.9539952
2011/2/1,1.117829
2011/3/1,1.179972
2011/4/1,1.210295
2011/5/1,1.256079
2011/6/1,1.29395
2011/7/1,1.41844
2011/8/1,1.651442
2011/9/1,1.721515
2011/10/1,1.835844
2011/11/1,1.835434
2011/12/1,2.045078
2012/1/1,2.113351
2012/2/1,2.01608
2012/3/1,2.122799
2012/4/1,2.191796
2012/5/1,2.188203
2012/6/1,2.238926
2012/7/1,2.260479
2012/8/1,2.17107
2012/9/1,2.219253
2012/10/1,2.206525
2012/11/1,2.195661
2012/12/1,2.107127
2013/1/1,2.065935
2013/2/1,2.143683
2013/3/1,2.096923
2013/4/1,1.932255
2013/5/1,1.905048
2013/6/1,1.874046
2013/7/1,1.865294
2013/8/1,1.911745
