Date,INFE2
2000/11/1,3.068525
2000/12/1,3.0517213
2001/1/1,2.6453361
2001/2/1,2.6339332
2001/3/1,2.3551451
2001/4/1,2.5761276
2001/5/1,2.7287533
2001/6/1,2.7692591
2001/7/1,2.7344045
2001/8/1,2.6213124
2001/9/1,2.8887227
2001/10/1,2.3690791
2001/11/1,2.194256
2001/12/1,2.6112791
2002/1/1,2.4847076
2002/2/1,2.3711401
2002/3/1,2.3076717
2002/4/1,2.7110517
2002/5/1,2.6334649
2002/6/1,2.4701876
2002/7/1,2.4244786
2002/8/1,2.1833712
2002/9/1,2.0435106
2002/10/1,1.9701917
2002/11/1,2.0151151
2002/12/1,2.0459363
2003/1/1,2.0717663
2003/2/1,2.0847825
2003/3/1,1.8973156
2003/4/1,1.9668397
2003/5/1,1.8937931
2003/6/1,2.0196281
2003/7/1,1.7029904
2003/8/1,1.9821735
2003/9/1,2.100063
2003/10/1,1.8492293
2003/11/1,2.0163405
2003/12/1,2.1893069
2004/1/1,2.0153589
2004/2/1,2.0270527
2004/3/1,1.8418985
2004/4/1,1.8951382
2004/5/1,2.2316022
2004/6/1,2.4611454
2004/7/1,2.2811944
2004/8/1,2.3105157
2004/9/1,2.403978
2004/10/1,2.1612211
2004/11/1,2.176672
2004/12/1,1.9994394
2005/1/1,2.1829327
2005/2/1,2.190567
2005/3/1,2.3487516
2005/4/1,2.4358565
2005/5/1,2.4315978
2005/6/1,2.275794
2005/7/1,2.3060153
2005/8/1,2.4405891
2005/9/1,2.363026
2005/10/1,2.6804109
2005/11/1,2.8053208
2005/12/1,2.8832347
2006/1/1,2.4336446
2006/2/1,2.5209066
2006/3/1,2.1593927
2006/4/1,2.6704905
2006/5/1,2.7761536
2006/6/1,2.7155452
2006/7/1,2.767961
2006/8/1,2.7582447
2006/9/1,2.6166808
2006/10/1,2.4741667
2006/11/1,2.1920057
2006/12/1,2.2213158
2007/1/1,2.6191845
2007/2/1,2.6283059
2007/3/1,2.6433729
2007/4/1,2.6103851
2007/5/1,2.7137292
2007/6/1,2.9300843
2007/7/1,2.6288602
2007/8/1,2.5801123
2007/9/1,2.4857913
2007/10/1,2.3438004
2007/11/1,2.5198819
2007/12/1,2.3308079
2008/1/1,2.2853259
2008/2/1,2.103849
2008/3/1,1.8695218
2008/4/1,1.9211771
2008/5/1,2.1535028
2008/6/1,2.4364771
2008/7/1,2.5553495
2008/8/1,2.5915472
2008/9/1,2.3715854
2008/10/1,1.8029698
2008/11/1,1.3817519
2008/12/1,0.90262758
2009/1/1,0.99968559
2009/2/1,0.98104291
2009/3/1,0.55547583
2009/4/1,1.3680256
2009/5/1,1.4767959
2009/6/1,1.5561764
2009/7/1,1.6957757
2009/8/1,1.9379079
2009/9/1,2.0714713
2009/10/1,1.6690348
2009/11/1,1.78698
2009/12/1,1.7120951
2010/1/1,1.7684988
2010/2/1,1.7430196
2010/3/1,1.8467766
2010/4/1,1.7108385
2010/5/1,1.6779421
2010/6/1,1.503438
2010/7/1,1.241982
2010/8/1,1.402822
2010/9/1,1.131614
2010/10/1,1.3378753
2010/11/1,1.3337249
2010/12/1,1.4672684
2011/1/1,1.778904
2011/2/1,1.8688687
2011/3/1,1.9720195
2011/4/1,1.9833295
2011/5/1,2.0433638
2011/6/1,1.8845743
2011/7/1,2.0802072
2011/8/1,1.5134029
2011/9/1,1.1812453
2011/10/1,1.4065078
2011/11/1,1.4350988
2011/12/1,1.5504819
2012/1/1,1.415498
2012/2/1,1.4005995
2012/3/1,1.3571739
2012/4/1,1.5452227
2012/5/1,1.4563831
2012/6/1,1.0054631
2012/7/1,1.2763383
2012/8/1,1.3143955
2012/9/1,1.6019767
2012/10/1,1.436218
2012/11/1,1.4722702
2012/12/1,1.6780195
2013/1/1,1.2937453
2013/2/1,1.3478604
2013/3/1,1.1118621
2013/4/1,1.3474958
2013/5/1,1.187589
2013/6/1,1.3466257
2013/7/1,1.2295753
2013/8/1,1.6620122
2013/9/1,1.9087309
2013/10/1,1.5375874
2013/11/1,1.4801659
2013/12/1,1.7340897
2014/1/1,1.6355563
2014/2/1,1.5657335
2014/3/1,1.3828281
2014/4/1,1.6562364
2014/5/1,1.7065438
2014/6/1,1.572693
2014/7/1,1.7538415
2014/8/1,1.7376574
2014/9/1,1.8962823
2014/10/1,1.6372688
2014/11/1,1.4820998
2014/12/1,1.9005034
2015/1/1,1.2512601
2015/2/1,0.90803706
2015/3/1,1.1905723
2015/4/1,1.5536333
2015/5/1,1.6479847
2015/6/1,1.6951142
2015/7/1,1.7368344
2015/8/1,1.6649923
2015/9/1,1.77111202
2015/10/1,1.4303623
2015/11/1,1.4600444
2015/12/1,1.54426566
2016/1/1,1.56591799
2016/2/1,1.32438879
2016/3/1,1.13880477
2016/4/1,1.60181803
2016/5/1,1.60055369
2016/6/1,1.41347644
2016/7/1,1.52588979
2016/8/1,1.50597183
2016/9/1,1.7703013
2016/10/1,1.60811718
2016/11/1,1.70959141
2016/12/1,2.00056006
2017/1/1,1.90844919
2017/2/1,1.83305118
2017/3/1,1.62156608
2017/4/1,1.70730304
2017/5/1,1.62428943
2017/6/1,1.28483615
2017/7/1,1.70031704
2017/8/1,1.65485624
2017/9/1,1.86086154
2017/10/1,1.83747409
2017/11/1,1.9103705
2017/12/1,2.30590212
2018/1/1,1.8553355
2018/2/1,2.03024294
2018/3/1,1.77299649
2018/4/1,1.85654229
2018/5/1,1.97104317
2018/6/1,1.77214047
2018/7/1,2.04854296
2018/8/1,2.07587707
2018/9/1,2.20600214
2018/10/1,2.13500161
2018/11/1,2.11248367
2018/12/1,1.99598892
2019/1/1,1.84144659
2019/2/1,1.8401524
2019/3/1,1.49661857
2019/4/1,1.83210405
2019/5/1,1.92982464
2019/6/1,1.56961619
2019/7/1,1.64996184
2019/8/1,1.62190871
2019/9/1,1.5320552
2019/10/1,1.60812094
2019/11/1,1.60960034
2019/12/1,1.63171633
2020/1/1,1.68281369
2020/2/1,1.54870456
2020/3/1,1.08291786
2020/4/1,0.50532993
2020/5/1,0.42402389
2020/6/1,0.80270935
2020/7/1,1.35251073
2020/8/1,1.38970582
2020/9/1,1.346501
2020/10/1,1.2495818
2020/11/1,1.2784134
2020/12/1,1.40430401
2021/1/1,1.28735871
2021/2/1,1.41831029
2021/3/1,1.38816905
2021/4/1,1.55547772
2021/5/1,1.60378084
2021/6/1,1.70412347
2021/7/1,1.72471671
2021/8/1,1.87371462
2021/9/1,2.00717467
2021/10/1,1.61472482
2021/11/1,1.9874101
2021/12/1,2.04889372
2022/1/1,1.89256809
2022/2/1,2.14411316
2022/3/1,2.37197211
2022/4/1,2.67083134
2022/5/1,2.87671049
2022/6/1,3.18112765
2022/7/1,2.67646389
2022/8/1,2.6593637
2022/9/1,3.18169492
2022/10/1,2.59486632
2022/11/1,2.82678789
2022/12/1,2.53473811
2023/1/1,2.48974447
2023/2/1,2.36463437
2023/3/1,2.20357461
2023/4/1,2.38057256
2023/5/1,2.40776827
2023/6/1,1.60519629
2023/7/1,2.28785076
2023/8/1,2.40271904
2023/9/1,2.54236202
2023/10/1,2.60366896
2023/11/1,2.62421294
