Date,JOP
2000/11/1,5088
2000/12/1,5088
2001/1/1,5234
2001/2/1,5097
2001/3/1,4762
2001/4/1,4615
2001/5/1,4425
2001/6/1,4361
2001/7/1,4447
2001/8/1,4024
2001/9/1,4071
2001/10/1,3707
2001/11/1,3775
2001/12/1,3677
2002/1/1,3699
2002/2/1,3436
2002/3/1,3612
2002/4/1,3471
2002/5/1,3457
2002/6/1,3412
2002/7/1,3367
2002/8/1,3517
2002/9/1,3301
2002/10/1,3479
2002/11/1,3514
2002/12/1,3169
2003/1/1,3441
2003/2/1,3229
2003/3/1,3099
2003/4/1,3108
2003/5/1,3289
2003/6/1,3390
2003/7/1,2981
2003/8/1,3190
2003/9/1,3091
2003/10/1,3305
2003/11/1,3324
2003/12/1,3414
2004/1/1,3424
2004/2/1,3532
2004/3/1,3525
2004/4/1,3511
2004/5/1,3710
2004/6/1,3337
2004/7/1,3814
2004/8/1,3541
2004/9/1,3821
2004/10/1,3943
2004/11/1,3472
2004/12/1,4074
2005/1/1,3804
2005/2/1,3965
2005/3/1,4044
2005/4/1,4159
2005/5/1,3797
2005/6/1,4062
2005/7/1,4256
2005/8/1,4142
2005/9/1,4352
2005/10/1,4184
2005/11/1,4248
2005/12/1,4282
2006/1/1,4397
2006/2/1,4325
2006/3/1,4732
2006/4/1,4790
2006/5/1,4463
2006/6/1,4614
2006/7/1,4394
2006/8/1,4710
2006/9/1,4737
2006/10/1,4591
2006/11/1,4645
2006/12/1,4620
2007/1/1,4763
2007/2/1,4699
2007/3/1,4962
2007/4/1,4689
2007/5/1,4657
2007/6/1,4859
2007/7/1,4598
2007/8/1,4546
2007/9/1,4652
2007/10/1,4636
2007/11/1,4646
2007/12/1,4545
2008/1/1,4624
2008/2/1,4279
2008/3/1,4225
2008/4/1,4035
2008/5/1,4194
2008/6/1,3830
2008/7/1,3749
2008/8/1,3674
2008/9/1,3222
2008/10/1,3377
2008/11/1,3231
2008/12/1,3146
2009/1/1,2738
2009/2/1,2864
2009/3/1,2534
2009/4/1,2295
2009/5/1,2549
2009/6/1,2503
2009/7/1,2232
2009/8/1,2338
2009/9/1,2487
2009/10/1,2406
2009/11/1,2503
2009/12/1,2568
2010/1/1,2837
2010/2/1,2666
2010/3/1,2679
2010/4/1,3153
2010/5/1,2988
2010/6/1,2801
2010/7/1,3082
2010/8/1,2999
2010/9/1,2918
2010/10/1,3235
2010/11/1,3211
2010/12/1,3058
2011/1/1,3104
2011/2/1,3226
2011/3/1,3261
2011/4/1,3259
2011/5/1,3179
2011/6/1,3455
2011/7/1,3623
2011/8/1,3329
2011/9/1,3774
2011/10/1,3619
2011/11/1,3565
2011/12/1,3768
2012/1/1,3909
2012/2/1,3616
2012/3/1,3979
2012/4/1,3793
2012/5/1,3835
2012/6/1,3911
2012/7/1,3735
2012/8/1,3809
2012/9/1,3882
2012/10/1,3775
2012/11/1,3878
2012/12/1,3970
2013/1/1,3923
2013/2/1,4004
2013/3/1,4076
2013/4/1,3988
2013/5/1,4145
2013/6/1,4150
2013/7/1,3885
2013/8/1,4085
2013/9/1,4128
2013/10/1,4222
2013/11/1,4119
2013/12/1,4121
2014/1/1,4127
2014/2/1,4373
2014/3/1,4388
2014/4/1,4566
2014/5/1,4747
2014/6/1,4982
2014/7/1,4846
2014/8/1,5349
2014/9/1,4914
2014/10/1,5012
2014/11/1,4843
2014/12/1,5130
2015/1/1,5344
2015/2/1,5466
2015/3/1,5210
2015/4/1,5598
2015/5/1,5563
2015/6/1,5248
2015/7/1,6056
2015/8/1,5467
2015/9/1,5488
2015/10/1,5773
2015/11/1,5708
2015/12/1,5845
2016/1/1,6012
2016/2/1,5770
2016/3/1,6129
2016/4/1,5803
2016/5/1,5777
2016/6/1,5742
2016/7/1,5962
2016/8/1,5677
2016/9/1,5868
2016/10/1,5591
2016/11/1,5971
2016/12/1,5964
2017/1/1,5617
2017/2/1,5923
2017/3/1,5811
2017/4/1,6091
2017/5/1,5826
2017/6/1,6305
2017/7/1,6238
2017/8/1,6276
2017/9/1,6320
2017/10/1,6408
2017/11/1,6271
2017/12/1,6336
2018/1/1,6621
2018/2/1,6552
2018/3/1,6818
2018/4/1,6877
2018/5/1,7016
2018/6/1,7230
2018/7/1,7190
2018/8/1,7208
2018/9/1,7411
2018/10/1,7304
2018/11/1,7594
2018/12/1,7489
2019/1/1,7502
2019/2/1,7066
2019/3/1,7317
2019/4/1,7272
2019/5/1,7275
2019/6/1,7194
2019/7/1,7042
2019/8/1,7178
2019/9/1,7124
2019/10/1,7289
2019/11/1,6888
2019/12/1,6699
2020/1/1,7124
2020/2/1,6966
2020/3/1,5894
2020/4/1,4606
2020/5/1,5612
2020/6/1,6129
2020/7/1,6530
2020/8/1,6429
2020/9/1,6511
2020/10/1,6798
2020/11/1,6820
2020/12/1,6773
2021/1/1,7204
2021/2/1,7752
2021/3/1,8470
2021/4/1,9356
2021/5/1,9905
2021/6/1,10298
2021/7/1,11049
2021/8/1,10956
2021/9/1,10879
2021/10/1,11341
2021/11/1,11119
2021/12/1,11417
2022/1/1,11238
2022/2/1,11661
2022/3/1,12134
2022/4/1,11881
2022/5/1,11483
2022/6/1,11256
2022/7/1,11610
2022/8/1,10148
2022/9/1,10812
2022/10/1,10488
2022/11/1,10619
2022/12/1,10876
2023/1/1,10393
2023/2/1,9846
2023/3/1,9572
2023/4/1,9992
2023/5/1,9310
2023/6/1,9191
2023/7/1,8606
2023/8/1,9287
2023/9/1,9279
2023/10/1,8550
2023/11/1,8663
