Date,PPI
2000/11/1,134.9
2000/12/1,134.3
2001/1/1,134.8
2001/2/1,134.8
2001/3/1,134.5
2001/4/1,135.6
2001/5/1,136.5
2001/6/1,135.8
2001/7/1,134.4
2001/8/1,134.6
2001/9/1,135.6
2001/10/1,133.7
2001/11/1,132.7
2001/12/1,131.6
2002/1/1,131.7
2002/2/1,132
2002/3/1,132.8
2002/4/1,133.8
2002/5/1,133.5
2002/6/1,133.6
2002/7/1,133.6
2002/8/1,133.7
2002/9/1,135
2002/10/1,135.6
2002/11/1,134.6
2002/12/1,134
2003/1/1,135.7
2003/2/1,137.6
2003/3/1,138.7
2003/4/1,136.3
2003/5/1,135.8
2003/6/1,136.3
2003/7/1,136.4
2003/8/1,137
2003/9/1,137.1
2003/10/1,138.2
2003/11/1,137.7
2003/12/1,137.7
2004/1/1,138.9
2004/2/1,139.3
2004/3/1,140.3
2004/4/1,141.8
2004/5/1,143.3
2004/6/1,142.9
2004/7/1,143.2
2004/8/1,143.7
2004/9/1,144.2
2004/10/1,146.5
2004/11/1,146.1
2004/12/1,145
2005/1/1,146.2
2005/2/1,147
2005/3/1,148.9
2005/4/1,149.6
2005/5/1,149.4
2005/6/1,149.6
2005/7/1,151
2005/8/1,151.8
2005/9/1,154.2
2005/10/1,156.6
2005/11/1,152.7
2005/12/1,152.8
2006/1/1,154.1
2006/2/1,153.5
2006/3/1,155
2006/4/1,157.2
2006/5/1,158.5
2006/6/1,159.5
2006/7/1,159.4
2006/8/1,159.8
2006/9/1,156.8
2006/10/1,155.9
2006/11/1,156.4
2006/12/1,156.9
2007/1/1,156.4
2007/2/1,157.7
2007/3/1,160.1
2007/4/1,162.2
2007/5/1,163.8
2007/6/1,163.7
2007/7/1,164.9
2007/8/1,163
2007/9/1,163.7
2007/10/1,164.5
2007/11/1,168
2007/12/1,166.9
2008/1/1,168.5
2008/2/1,169.6
2008/3/1,173.4
2008/4/1,175.3
2008/5/1,179.4
2008/6/1,182
2008/7/1,185.6
2008/8/1,182.6
2008/9/1,182.9
2008/10/1,176.8
2008/11/1,169.4
2008/12/1,164.1
2009/1/1,164.7
2009/2/1,163.9
2009/3/1,162.9
2009/4/1,164.2
2009/5/1,165.8
2009/6/1,168.4
2009/7/1,167.1
2009/8/1,169.4
2009/9/1,168.6
2009/10/1,168.9
2009/11/1,170.7
2009/12/1,170.8
2010/1/1,173.1
2010/2/1,172.2
2010/3/1,173.9
2010/4/1,175.2
2010/5/1,176.1
2010/6/1,174.8
2010/7/1,174.7
2010/8/1,175.3
2010/9/1,175.5
2010/10/1,177.3
2010/11/1,178.2
2010/12/1,179.1
2011/1/1,181.1
2011/2/1,183.3
2011/3/1,187.3
2011/4/1,190.2
2011/5/1,191.9
2011/6/1,191.1
2011/7/1,191.7
2011/8/1,190.7
2011/9/1,191.5
2011/10/1,190.2
2011/11/1,190.6
2011/12/1,189.6
2012/1/1,191.1
2012/2/1,192.1
2012/3/1,194.3
2012/4/1,194.7
2012/5/1,193.6
2012/6/1,191.7
2012/7/1,191.2
2012/8/1,193.5
2012/9/1,195.4
2012/10/1,195.1
2012/11/1,192.6
2012/12/1,191.8
2013/1/1,192.6
2013/2/1,195.2
2013/3/1,194.5
2013/4/1,194
2013/5/1,194
2013/6/1,193.9
2013/7/1,194
2013/8/1,194.6
2013/9/1,194.3
2013/10/1,193.7
2013/11/1,192.7
2013/12/1,193.2
2014/1/1,194.2
2014/2/1,195.2
2014/3/1,196.2
2014/4/1,197.5
2014/5/1,197.2
2014/6/1,197.2
2014/7/1,197.4
2014/8/1,197.4
2014/9/1,196.8
2014/10/1,194.8
2014/11/1,192.7
2014/12/1,189.1
2015/1/1,185
2015/2/1,185.4
2015/3/1,186.2
2015/4/1,185.7
2015/5/1,188.2
2015/6/1,188.9
2015/7/1,188.5
2015/8/1,187
2015/9/1,184.3
2015/10/1,183.7
2015/11/1,182.9
2015/12/1,180.8
2016/1/1,179.7
2016/2/1,178.7
2016/3/1,179.3
2016/4/1,180.5
2016/5/1,181.9
2016/6/1,183.6
2016/7/1,183.4
2016/8/1,182.5
2016/9/1,183
2016/10/1,183.7
2016/11/1,183.2
2016/12/1,183.9
2017/1/1,185.6
2017/2/1,186.2
2017/3/1,186.7
2017/4/1,187.6
2017/5/1,187.3
2017/6/1,187.6
2017/7/1,187.3
2017/8/1,188.4
2017/9/1,189.6
2017/10/1,190.2
2017/11/1,191.2
2017/12/1,191.3
2018/1/1,192.6
2018/2/1,193.5
2018/3/1,194
2018/4/1,195.3
2018/5/1,197.7
2018/6/1,198.4
2018/7/1,198.5
2018/8/1,198.6
2018/9/1,198.9
2018/10/1,200.4
2018/11/1,198.4
2018/12/1,195.2
2019/1/1,194.3
2019/2/1,195.4
2019/3/1,197.4
2019/4/1,199.2
2019/5/1,199.1
2019/6/1,197
2019/7/1,197.5
2019/8/1,196.4
2019/9/1,195.9
2019/10/1,196.6
2019/11/1,196.5
2019/12/1,196.4
2020/1/1,196.6
2020/2/1,195.1
2020/3/1,192.3
2020/4/1,186.1
2020/5/1,188.9
2020/6/1,190.2
2020/7/1,192.3
2020/8/1,193
2020/9/1,192.9
2020/10/1,193.7
2020/11/1,194.5
2020/12/1,196.7
2021/1/1,199.6
2021/2/1,203.1
2021/3/1,207.9
2021/4/1,210.1
2021/5/1,215.1
2021/6/1,217.9
2021/7/1,219.492
2021/8/1,220.114
2021/9/1,221.869
2021/10/1,225.478
2021/11/1,227.109
2021/12/1,226.47
2022/1/1,231.495
2022/2/1,237.245
2022/3/1,245.404
2022/4/1,249.56
2022/5/1,256.396
2022/6/1,262.418
2022/7/1,256.526
2022/8/1,251.494
2022/9/1,251.891
2022/10/1,254.03
2022/11/1,252.905
2022/12/1,245.115
2023/1/1,249.178
2023/2/1,249.308
2023/3/1,248.98
2023/4/1,248.583
2023/5/1,246.206
2023/6/1,245.784
2023/7/1,245.434
2023/8/1,251.093
2023/9/1,252.368
2023/10/1,249.119
2023/11/1,246.497
