Date,EPU
2000/11/10,118.95
2000/11/11,210.86
2000/11/12,154.27
2000/11/13,85.32
2000/11/14,192.21
2000/11/15,341.02
2000/11/16,287.41
2000/11/17,182.25
2000/11/18,282.3
2000/11/19,182.24
2000/11/20,315.77
2000/11/21,163.71
2000/11/22,46.73
2000/11/23,45.15
2000/11/24,67.43
2000/11/25,52.2
2000/11/26,112.05
2000/11/27,72.64
2000/11/28,51.24
2000/11/29,109.05
2000/11/30,167.48
2000/12/1,77.21
2000/12/2,81.06
2000/12/3,134.98
2000/12/4,147.9
2000/12/5,105.31
2000/12/6,156.75
2000/12/7,183.24
2000/12/8,156.11
2000/12/9,179.91
2000/12/10,168.68
2000/12/11,75.8
2000/12/12,62.09
2000/12/13,142.53
2000/12/14,189.31
2000/12/15,85.5
2000/12/16,238.44
2000/12/17,155.06
2000/12/18,108.63
2000/12/19,46.86
2000/12/20,31.89
2000/12/21,116.65
2000/12/22,55.94
2000/12/23,39.94
2000/12/24,115.87
2000/12/25,81.22
2000/12/26,122.64
2000/12/27,61.06
2000/12/28,54.59
2000/12/29,133.91
2000/12/30,288.25
2000/12/31,266.22
2001/1/1,226.65
2001/1/2,231.58
2001/1/3,36.08
2001/1/4,159.18
2001/1/5,85.79
2001/1/6,75.96
2001/1/7,200.73
2001/1/8,163.27
2001/1/9,74.83
2001/1/10,260.56
2001/1/11,79.73
2001/1/12,77.79
2001/1/13,62.07
2001/1/14,137.47
2001/1/15,61.6
2001/1/16,56.8
2001/1/17,81.96
2001/1/18,102.9
2001/1/19,124.86
2001/1/20,111.2
2001/1/21,301.14
2001/1/22,132.41
2001/1/23,57.94
2001/1/24,72.86
2001/1/25,98.53
2001/1/26,71.03
2001/1/27,189.05
2001/1/28,193.39
2001/1/29,89.01
2001/1/30,87.49
2001/1/31,115.77
2001/2/1,163.54
2001/2/2,127.88
2001/2/3,115.97
2001/2/4,159.59
2001/2/5,102.29
2001/2/6,126.76
2001/2/7,144.08
2001/2/8,111.14
2001/2/9,245.5
2001/2/10,64.9
2001/2/11,211.68
2001/2/12,46.81
2001/2/13,158.71
2001/2/14,168.89
2001/2/15,74.8
2001/2/16,96.07
2001/2/17,73.45
2001/2/18,183
2001/2/19,72.4
2001/2/20,128.51
2001/2/21,85.93
2001/2/22,95.31
2001/2/23,171.87
2001/2/24,17.41
2001/2/25,164.4
2001/2/26,71.28
2001/2/27,67.68
2001/2/28,173.46
2001/3/1,89.59
2001/3/2,135.22
2001/3/3,86.55
2001/3/4,172.47
2001/3/5,142.41
2001/3/6,109.42
2001/3/7,84.45
2001/3/8,124.16
2001/3/9,210.32
2001/3/10,86.33
2001/3/11,268.84
2001/3/12,101.86
2001/3/13,180.89
2001/3/14,164.82
2001/3/15,139.49
2001/3/16,192.45
2001/3/17,106.89
2001/3/18,143.15
2001/3/19,106.53
2001/3/20,105.39
2001/3/21,145.62
2001/3/22,85.33
2001/3/23,115.75
2001/3/24,107.14
2001/3/25,95.2
2001/3/26,80.06
2001/3/27,83.49
2001/3/28,85.38
2001/3/29,55.4
2001/3/30,212.9
2001/3/31,40.83
2001/4/1,73.01
2001/4/2,65.65
2001/4/3,101.37
2001/4/4,175.95
2001/4/5,86.74
2001/4/6,82.93
2001/4/7,71.48
2001/4/8,133.37
2001/4/9,77.04
2001/4/10,141.46
2001/4/11,77.72
2001/4/12,67.46
2001/4/13,45.79
2001/4/14,62.55
2001/4/15,58.27
2001/4/16,87.87
2001/4/17,22.31
2001/4/18,65.45
2001/4/19,308.63
2001/4/20,180.25
2001/4/21,105.15
2001/4/22,175.23
2001/4/23,101.56
2001/4/24,59.42
2001/4/25,111.89
2001/4/26,152.52
2001/4/27,109.24
2001/4/28,145.04
2001/4/29,157.67
2001/4/30,52.21
2001/5/1,94.1
2001/5/2,64.97
2001/5/3,73.28
2001/5/4,44.09
2001/5/5,64.39
2001/5/6,83.69
2001/5/7,6.67
2001/5/8,123.61
2001/5/9,38.41
2001/5/10,59.36
2001/5/11,116.19
2001/5/12,93.14
2001/5/13,74.29
2001/5/14,159.26
2001/5/15,102.53
2001/5/16,320
2001/5/17,41.05
2001/5/18,76.71
2001/5/19,110.76
2001/5/20,121.52
2001/5/21,65.63
2001/5/22,187.68
2001/5/23,54.48
2001/5/24,102.04
2001/5/25,213.5
2001/5/26,35.43
2001/5/27,129.3
2001/5/28,111.31
2001/5/29,82.5
2001/5/30,79.12
2001/5/31,56.66
2001/6/1,60.75
2001/6/2,42.62
2001/6/3,132.87
2001/6/4,59.47
2001/6/5,66.96
2001/6/6,41.26
2001/6/7,67.37
2001/6/8,105.15
2001/6/9,61.05
2001/6/10,95.2
2001/6/11,53.52
2001/6/12,75.01
2001/6/13,59.66
2001/6/14,27.64
2001/6/15,46.69
2001/6/16,24.71
2001/6/17,115.11
2001/6/18,95.35
2001/6/19,91.43
2001/6/20,55.89
2001/6/21,32.03
2001/6/22,91.4
2001/6/23,86.97
2001/6/24,102.12
2001/6/25,60.61
2001/6/26,51.99
2001/6/27,59.75
2001/6/28,139.09
2001/6/29,53.56
2001/6/30,62
2001/7/1,213.99
2001/7/2,78.06
2001/7/3,51.96
2001/7/4,55.3
2001/7/5,55.02
2001/7/6,60.65
2001/7/7,63.62
2001/7/8,112.91
2001/7/9,96.76
2001/7/10,51.88
2001/7/11,72.54
2001/7/12,41.95
2001/7/13,43.77
2001/7/14,82.48
2001/7/15,116.08
2001/7/16,115.84
2001/7/17,90.54
2001/7/18,94.52
2001/7/19,174.93
2001/7/20,42.61
2001/7/21,70.03
2001/7/22,89.33
2001/7/23,99.51
2001/7/24,83.43
2001/7/25,144.61
2001/7/26,27.51
2001/7/27,70.18
2001/7/28,143.37
2001/7/29,121.59
2001/7/30,60.13
2001/7/31,223.69
2001/8/1,72.66
2001/8/2,165
2001/8/3,177.49
2001/8/4,146.22
2001/8/5,96.41
2001/8/6,65.46
2001/8/7,51.04
2001/8/8,52.29
2001/8/9,75.7
2001/8/10,18.89
2001/8/11,43.53
2001/8/12,81.38
2001/8/13,94.82
2001/8/14,107.03
2001/8/15,62.21
2001/8/16,28.32
2001/8/17,28.23
2001/8/18,30.94
2001/8/19,102.49
2001/8/20,60.66
2001/8/21,284.78
2001/8/22,92.02
2001/8/23,36.23
2001/8/24,64.24
2001/8/25,41.61
2001/8/26,65.73
2001/8/27,45.52
2001/8/28,62.82
2001/8/29,82.58
2001/8/30,107.77
2001/8/31,61.89
2001/9/1,160.77
2001/9/2,74.78
2001/9/3,276.26
2001/9/4,84.6
2001/9/5,58.3
2001/9/6,38.11
2001/9/7,120.21
2001/9/8,98.6
2001/9/9,122.09
2001/9/10,79.74
2001/9/11,114.25
2001/9/12,243.2
2001/9/13,142.78
2001/9/14,232.8
2001/9/15,127.65
2001/9/16,306.85
2001/9/17,329.71
2001/9/18,719.07
2001/9/19,297.14
2001/9/20,515.61
2001/9/21,560.12
2001/9/22,281.78
2001/9/23,429.99
2001/9/24,215.17
2001/9/25,240.2
2001/9/26,236.78
2001/9/27,225.04
2001/9/28,182.66
2001/9/29,186.01
2001/9/30,336.96
2001/10/1,266.95
2001/10/2,408.67
2001/10/3,690.81
2001/10/4,201.12
2001/10/5,262.75
2001/10/6,347.68
2001/10/7,475.02
2001/10/8,247.37
2001/10/9,313
2001/10/10,209.67
2001/10/11,230.44
2001/10/12,189.51
2001/10/13,85.95
2001/10/14,245.16
2001/10/15,124.64
2001/10/16,257.41
2001/10/17,189.98
2001/10/18,273.69
2001/10/19,143.42
2001/10/20,46.5
2001/10/21,253.78
2001/10/22,208.1
2001/10/23,253.3
2001/10/24,144.06
2001/10/25,154.87
2001/10/26,240.05
2001/10/27,167.82
2001/10/28,264.05
2001/10/29,158.12
2001/10/30,103.98
2001/10/31,170.72
2001/11/1,204.93
2001/11/2,150.01
2001/11/3,143.26
2001/11/4,195.44
2001/11/5,158.61
2001/11/6,315.17
2001/11/7,506.53
2001/11/8,139.48
2001/11/9,134.25
2001/11/10,123.31
2001/11/11,231.37
2001/11/12,193.14
2001/11/13,115.37
2001/11/14,178.13
2001/11/15,130.85
2001/11/16,100.63
2001/11/17,77.06
2001/11/18,160.95
2001/11/19,145.72
2001/11/20,202.93
2001/11/21,91.95
2001/11/22,76.66
2001/11/23,97.57
2001/11/24,18.16
2001/11/25,157.77
2001/11/26,117.73
2001/11/27,126.59
2001/11/28,110.62
2001/11/29,110.85
2001/11/30,116.56
2001/12/1,84.88
2001/12/2,119.37
2001/12/3,134.47
2001/12/4,114.25
2001/12/5,126.97
2001/12/6,97.4
2001/12/7,130.29
2001/12/8,43.68
2001/12/9,172.09
2001/12/10,88.86
2001/12/11,134.96
2001/12/12,217.98
2001/12/13,114.36
2001/12/14,79.78
2001/12/15,70.75
2001/12/16,153.56
2001/12/17,138.07
2001/12/18,106.84
2001/12/19,98.24
2001/12/20,95.92
2001/12/21,138.71
2001/12/22,151.96
2001/12/23,162.86
2001/12/24,87.59
2001/12/25,136.88
2001/12/26,85.13
2001/12/27,90.63
2001/12/28,173.46
2001/12/29,128.34
2001/12/30,295.04
2001/12/31,181.41
2002/1/1,183.6
2002/1/2,139.88
2002/1/3,115.06
2002/1/4,104.44
2002/1/5,100.84
2002/1/6,239.34
2002/1/7,154.84
2002/1/8,94.34
2002/1/9,103.3
2002/1/10,147.74
2002/1/11,85.57
2002/1/12,149.54
2002/1/13,159.47
2002/1/14,89.58
2002/1/15,124.8
2002/1/16,153.25
2002/1/17,150.42
2002/1/18,49.01
2002/1/19,129.21
2002/1/20,275.85
2002/1/21,146.01
2002/1/22,116.81
2002/1/23,131.78
2002/1/24,145.05
2002/1/25,108.27
2002/1/26,191.87
2002/1/27,139.33
2002/1/28,203.14
2002/1/29,98.69
2002/1/30,130.85
2002/1/31,229.05
2002/2/1,52.7
2002/2/2,82.86
2002/2/3,147.69
2002/2/4,68.28
2002/2/5,102.39
2002/2/6,188.54
2002/2/7,64.52
2002/2/8,172.46
2002/2/9,31.4
2002/2/10,104.89
2002/2/11,84.03
2002/2/12,44
2002/2/13,154.22
2002/2/14,73.58
2002/2/15,50.85
2002/2/16,30.51
2002/2/17,109.66
2002/2/18,103.18
2002/2/19,63.66
2002/2/20,60.23
2002/2/21,40.55
2002/2/22,92.85
2002/2/23,24.72
2002/2/24,78.31
2002/2/25,89.21
2002/2/26,46.55
2002/2/27,45.61
2002/2/28,221.66
2002/3/1,46.41
2002/3/2,66.22
2002/3/3,101.6
2002/3/4,33.63
2002/3/5,23.34
2002/3/6,45.57
2002/3/7,85.05
2002/3/8,149.25
2002/3/9,83.25
2002/3/10,116.96
2002/3/11,119.33
2002/3/12,114.16
2002/3/13,93.67
2002/3/14,127.47
2002/3/15,51.25
2002/3/16,92.91
2002/3/17,119.48
2002/3/18,82.96
2002/3/19,83.47
2002/3/20,243.5
2002/3/21,96.04
2002/3/22,79.99
2002/3/23,59.06
2002/3/24,164.28
2002/3/25,75.26
2002/3/26,163.97
2002/3/27,105.09
2002/3/28,54.64
2002/3/29,71.02
2002/3/30,39.82
2002/3/31,138.6
2002/4/1,23.67
2002/4/2,41.99
2002/4/3,35.94
2002/4/4,65.65
2002/4/5,49.59
2002/4/6,52.7
2002/4/7,107.83
2002/4/8,102.01
2002/4/9,105.63
2002/4/10,54.12
2002/4/11,85.77
2002/4/12,72.29
2002/4/13,52.74
2002/4/14,59.33
2002/4/15,65.95
2002/4/16,28.36
2002/4/17,147.73
2002/4/18,159.1
2002/4/19,50.21
2002/4/20,43.2
2002/4/21,91.43
2002/4/22,96.37
2002/4/23,71.94
2002/4/24,66.46
2002/4/25,56.88
2002/4/26,75.33
2002/4/27,102.13
2002/4/28,99.52
2002/4/29,104.17
2002/4/30,67.62
2002/5/1,71.1
2002/5/2,58.59
2002/5/3,73.66
