Date,RBE
2000/11/01,104.4
2000/11/02,104.4
2000/11/03,104.4
2000/11/04,104.4
2000/11/05,104.4
2000/11/06,104.4
2000/11/07,104.4
2000/11/08,104.4
2000/11/09,104.4
2000/11/10,104.4
2000/11/11,104.4
2000/11/12,104.4
2000/11/13,104.4
2000/11/14,104.4
2000/11/15,104.4
2000/11/16,104.4
2000/11/17,104.4
2000/11/18,104.4
2000/11/19,104.4
2000/11/20,104.4
2000/11/21,104.4
2000/11/22,104.4
2000/11/23,104.4
2000/11/24,104.4
2000/11/25,104.4
2000/11/26,104.4
2000/11/27,104.4
2000/11/28,104.4
2000/11/29,104.4
2000/11/30,104.4
2000/12/01,103.28
2000/12/02,103.28
2000/12/03,103.28
2000/12/04,103.28
2000/12/05,103.28
2000/12/06,103.28
2000/12/07,103.28
2000/12/08,103.28
2000/12/09,103.28
2000/12/10,103.28
2000/12/11,103.28
2000/12/12,103.28
2000/12/13,103.28
2000/12/14,103.28
2000/12/15,103.28
2000/12/16,103.28
2000/12/17,103.28
2000/12/18,103.28
2000/12/19,103.28
2000/12/20,103.28
2000/12/21,103.28
2000/12/22,103.28
2000/12/23,103.28
2000/12/24,103.28
2000/12/25,103.28
2000/12/26,103.28
2000/12/27,103.28
2000/12/28,103.28
2000/12/29,103.28
2000/12/30,103.28
2000/12/31,103.28
2001/01/01,103.74
2001/01/02,103.74
2001/01/03,103.74
2001/01/04,103.74
2001/01/05,103.74
2001/01/06,103.74
2001/01/07,103.74
2001/01/08,103.74
2001/01/09,103.74
2001/01/10,103.74
2001/01/11,103.74
2001/01/12,103.74
2001/01/13,103.74
2001/01/14,103.74
2001/01/15,103.74
2001/01/16,103.74
2001/01/17,103.74
2001/01/18,103.74
2001/01/19,103.74
2001/01/20,103.74
2001/01/21,103.74
2001/01/22,103.74
2001/01/23,103.74
2001/01/24,103.74
2001/01/25,103.74
2001/01/26,103.74
2001/01/27,103.74
2001/01/28,103.74
2001/01/29,103.74
2001/01/30,103.74
2001/01/31,103.74
2001/02/01,104.58
2001/02/02,104.58
2001/02/03,104.58
2001/02/04,104.58
2001/02/05,104.58
2001/02/06,104.58
2001/02/07,104.58
2001/02/08,104.58
2001/02/09,104.58
2001/02/10,104.58
2001/02/11,104.58
2001/02/12,104.58
2001/02/13,104.58
2001/02/14,104.58
2001/02/15,104.58
2001/02/16,104.58
2001/02/17,104.58
2001/02/18,104.58
